"Bacteria","correlation"
"photobacterium",0.845147256733939
"devosia",0.314179337534702
"streptomyces",-0.33735701331588
"ralstonia",-0.790696191721936
"chryseobacterium",-0.461601757489807
"neisseria",-0.454575339091596
"ilumatobacter",-0.448004710565334
"brochothrix",-0.291696443652411
"blastopirellula",0.327689077426438
"anaplasma",0.401006164179324
"pseudoalteromonas",-0.295663784161229
"amylibacter",-0.548735318979643
"psychromonas",-0.378072381164733
"leifsonia",0.6826711328269
"actinomyces",-0.468942738352383
"oceanospirillum",-0.7409907705428
"pandoraea",0.546752470857793
"gemella",-0.462316969174035
"candidatus.neoehrlichia",0.751782483974621
"enterobacter",0.415544480521838
"planctomyces",-0.463759821709114
"planococcus",0.877679123409305
"pelomonas",-0.608085499810381
"comamonas",0.727083268306707
"snodgrassella",0.494362688774958
"brevundimonas",-0.685289661040112
"tetracoccus",0.162150663219885
"maritalea",0.593620097483265
"francisella",0.287209448231483
"tepidimonas",0.735329463960782
"legionella",-0.563198848597279
"rheinheimera",0.751745447293071
"pseudoxanthomonas",-0.27385623481111
"caulobacter",-0.470628150701203
"anoxybacillus",0.674010389876707
"actinobaculum",-0.501732621854835
"corynebacterium",-0.199803902742805
"thermicanus",0.657007271465807
"lachnoanaerobaculum",-0.201549945375439
"lactobacillus",0.257534949129314
"sphingobacterium",-0.329213523466119
"hyphomicrobium",-0.607385722470277
"hydrogenophaga",-0.184394632270639
"spirochaeta",0.308683128004356
"carnobacterium",-0.49374855561135
"klebsiella",0.551707403108038
"propionibacterium",0.533585653453158
"pedobacter",-0.477788338081473
"kistimonas",0.51484152105123
"candidatus.fritschea",-0.0878020303668843
"mangroviflexus",0.541087175856001
"lewinella",-0.734916339326449
"anaerococcus",0.671559050659044
"massilia",-0.762453826751834
"candidatus.saccharimonas",-0.481069135891856
"micrococcus",-0.0573764717554246
"campylobacter",-0.42209123102272
"peptoniphilus",0.659651448826402
"marinifilum",-0.139953899490387
"rhodopirellula",-0.759261777006135
"algisphaera",0.67775365569309
"aeromonas",0.618533896668145
"cloacibacterium",0.705102975421439
"granulicatella",-0.469340118634459
"acinetobacter",-0.155471532893443
"selenomonas",0.167491967456664
"pseudomonas",-0.51742975466605
"thalassobius",-0.642456165956495
"enterococcus",0.459121623711061
"shewanella",0.602676185467745
"prevotella",-0.474497445407947
"capnocytophaga",-0.279240011499643
"mycobacterium",-0.360068411411729
"methylobacterium",-0.165235132756995
"lutimonas",0.0382284740148037
"hydrogenispora",-0.516332838395463
"stenotrophomonas",0.529709857361956
"synechococcus",0.45414705780708
"leuconostoc",-0.0899249872880555
"psychrilyobacter",0.715817364720225
"solirubrobacter",-0.580455624819658
"streptococcus",-0.517473224573922
"gemmatimonas",0.862563094396754
"desulfovibrio",0.589581170068984
"sphingomonas",-0.596005994597697
"bacillus",0.595804394502844
"janibacter",-0.230047258096319
"caminibacter",-0.593321982731591
"vibrio",0.741233503713856
"macrococcus",0.379192514495625
"propionigenium",0.60269844306362
