"Bacteria","correlation"
"photobacterium",0.834946077470253
"devosia",0.329949982651215
"streptomyces",-0.340621052718886
"ralstonia",-0.795628951736145
"chryseobacterium",-0.464992879604489
"neisseria",-0.458890566888936
"ilumatobacter",-0.451040741579762
"brochothrix",-0.332417509750634
"blastopirellula",0.330409419862288
"anaplasma",0.404504609267284
"pseudoalteromonas",-0.308504237969957
"amylibacter",-0.549132425847385
"psychromonas",-0.390835642113559
"leifsonia",0.744014602566411
"actinomyces",-0.479383249041607
"oceanospirillum",-0.73939224251812
"pandoraea",0.484973834339335
"gemella",-0.495350490281299
"candidatus.neoehrlichia",0.719949275728352
"enterobacter",0.408322881407196
"planctomyces",-0.460109525358862
"planococcus",0.876144991920648
"pelomonas",-0.607688490442887
"comamonas",0.724993257873282
"snodgrassella",0.499064526852639
"brevundimonas",-0.625990031345423
"tetracoccus",0.12451396757641
"maritalea",0.503156325519212
"francisella",0.315067670927648
"tepidimonas",0.728264595969024
"legionella",-0.609755057022259
"rheinheimera",0.75310734415256
"pseudoxanthomonas",-0.289442952443249
"caulobacter",-0.495171599270511
"anoxybacillus",0.71368359867182
"actinobaculum",-0.494898087496659
"corynebacterium",-0.196086352663545
"thermicanus",0.674738022614483
"lachnoanaerobaculum",-0.209349573328389
"lactobacillus",0.262716194642836
"sphingobacterium",-0.328501186616947
"hyphomicrobium",-0.607798249952524
"hydrogenophaga",-0.202370657667314
"spirochaeta",0.302750387518805
"carnobacterium",-0.459065165833308
"photobacterium",0.625922497559258
"devosia",-0.0685494600070213
"streptomyces",0.651218280615923
"ralstonia",-0.454177622880803
"chryseobacterium",0.575407750512644
"neisseria",-0.235424042474207
"ilumatobacter",0.754954036325568
"brochothrix",0.691265730576046
"blastopirellula",-0.177486046000034
"pseudoalteromonas",-0.654886290992051
"amylibacter",0.455892207570963
"psychromonas",0.285644940735381
"leifsonia",-0.110869426962025
"actinomyces",0.0034283629895259
"oceanospirillum",-0.316414406825638
"pandoraea",-0.538251869492629
"gemella",-0.379554352050526
"candidatus.neoehrlichia",-0.330579211245672
"enterobacter",-0.244417658159012
"planctomyces",-0.0636374042377129
"planococcus",0.0996095227413207
"pelomonas",0.567702732204323
"comamonas",-0.314430598882279
"snodgrassella",-0.507077048432814
"brevundimonas",-0.240339482356481
"tetracoccus",-0.494623725106475
"maritalea",0.489102216877076
"francisella",0.0662694200941186
"tepidimonas",0.223124493969844
"legionella",-0.339160035226886
"rheinheimera",-0.422702505318979
"pseudoxanthomonas",-0.320533045279984
"caulobacter",0.28621629845104
"anoxybacillus",-0.0373957326803231
"actinobaculum",0.0600786070743447
"corynebacterium",0.393731038087532
"thermicanus",-0.358377982745824
"lachnoanaerobaculum",0.180585948907314
"lactobacillus",0.00107856505493613
"sphingobacterium",-0.318417919058666
"hyphomicrobium",-0.382106708504782
"hydrogenophaga",0.0151277365261684
"spirochaeta",0.616343437319894
"carnobacterium",0.365461657158154
"porphyrobacter",0.390925132978517
"klebsiella",-0.340242650518617
"propionibacterium",0.187904207124431
"pedobacter",0.369024243105175
"caldilinea",-0.451427901004146
"kistimonas",-0.328156556467377
"candidatus.fritschea",-0.246432152880526
"mangroviflexus",-0.577375862291848
