"Bacteria","correlation"
"photobacterium",0.834946077470253
"devosia",0.329949982651215
"streptomyces",-0.340621052718886
"ralstonia",-0.795628951736145
"chryseobacterium",-0.464992879604489
"neisseria",-0.458890566888936
"ilumatobacter",-0.451040741579762
"brochothrix",-0.332417509750634
"blastopirellula",0.330409419862288
"anaplasma",0.404504609267284
"pseudoalteromonas",-0.308504237969957
"amylibacter",-0.549132425847385
"psychromonas",-0.390835642113559
"leifsonia",0.744014602566411
"actinomyces",-0.479383249041607
"oceanospirillum",-0.73939224251812
"pandoraea",0.484973834339335
"gemella",-0.495350490281299
"candidatus.neoehrlichia",0.719949275728352
"enterobacter",0.408322881407196
"planctomyces",-0.460109525358862
"planococcus",0.876144991920648
"pelomonas",-0.607688490442887
"comamonas",0.724993257873282
"snodgrassella",0.499064526852639
"brevundimonas",-0.625990031345423
"tetracoccus",0.12451396757641
"maritalea",0.503156325519212
"francisella",0.315067670927648
"tepidimonas",0.728264595969024
"legionella",-0.609755057022259
"rheinheimera",0.75310734415256
"pseudoxanthomonas",-0.289442952443249
"caulobacter",-0.495171599270511
"anoxybacillus",0.71368359867182
"actinobaculum",-0.494898087496659
"corynebacterium",-0.196086352663545
"thermicanus",0.674738022614483
"lachnoanaerobaculum",-0.209349573328389
"lactobacillus",0.262716194642836
"sphingobacterium",-0.328501186616947
"hyphomicrobium",-0.607798249952524
"hydrogenophaga",-0.202370657667314
"spirochaeta",0.302750387518805
"carnobacterium",-0.459065165833308
"photobacterium",0.0924113233806296
"devosia",-0.0930281327447928
"ralstonia",-0.573981863891433
"chryseobacterium",-0.021369174510662
"neisseria",0.774992291100412
"brochothrix",0.540022828354813
"blastopirellula",-0.441629915395523
"anaplasma",-0.366066391918286
"pseudoalteromonas",0.573540435923902
"amylibacter",0.486337775866164
"psychromonas",0.722302963751686
"leifsonia",-0.364029844611533
"actinomyces",0.625770309592777
"pandoraea",-0.687936973383923
"gemella",-0.643000778687439
"candidatus.neoehrlichia",-0.360741935401734
"enterobacter",0.372658709913849
"planctomyces",0.0585703071015838
"planococcus",0.339044582411559
"pelomonas",-0.59547704160433
"comamonas",-0.34647655483713
"snodgrassella",0.548642919071772
"brevundimonas",-0.485266889333744
"tetracoccus",-0.209312442953932
"maritalea",-0.0549379199175322
"francisella",-0.439529277520306
"tepidimonas",-0.405197490181154
"legionella",0.211280852746129
"rheinheimera",-0.464046651529521
"pseudoxanthomonas",0.425192109012706
"caulobacter",-0.315618330297386
"anoxybacillus",0.0339340573517064
"actinobaculum",-0.345660511889991
"corynebacterium",-0.118906874496077
"thermicanus",-0.505905789326868
"lachnoanaerobaculum",0.493751220572071
"lactobacillus",-0.311875879727638
"sphingobacterium",0.613112378206393
"hyphomicrobium",0.312951051676497
"hydrogenophaga",0.520820142764496
"spirochaeta",-0.367502436569491
"carnobacterium",0.290993605195619
"porphyrobacter",0.434447167720409
"klebsiella",0.315849307036347
"propionibacterium",-0.608875280638117
"pedobacter",0.338624257117804
"kistimonas",0.552962742941272
"candidatus.fritschea",0.518694291274296
"mangroviflexus",0.185678488584806
"lewinella",0.379115873251555
"anaerococcus",-0.0915610990495213
"oxalicibacterium",-0.331605182030245
